Country Code,2019
AFE,175
AFG,197
AFW,170
AGO,192
ALB,106
AND,23
ARB,139
ARE,2
ARG,67
ARM,96
AUS,45
AUT,44
AZE,88
BDI,198
BEL,53
BEN,183
BFA,177
BGR,78
BHR,76
BHS,70
BIH,93
BLR,47
BLZ,149
BOL,143
BRA,106
BRB,39
BRN,38
BWA,105
CAF,201
CAN,54
CEB,61
CHE,13
CHL,42
CHN,82
CIV,116
CMR,166
COD,199
COL,84
COM,194
CPV,133
CRI,39
CSS,98
CUB,152
CUW,69
CYP,11
CZE,36
DEU,17
DJI,153
DNK,9
DOM,130
DZA,136
EAP,87
EAR,146
EAS,80
ECA,65
ECS,51
EGY,145
EMU,31
ESP,34
EST,7
EUU,37
FCS,170
FIN,22
FRA,39
GAB,111
GBR,25
GEO,65
GHA,134
GIN,183
GNB,190
GRC,59
GRL,89
HIC,19
HKG,1
HND,155
HPC,182
HRV,94
HTI,190
HUN,68
IBD,119
IBT,131
IDA,167
IDB,168
IDN,127
IDX,165
IND,162
IRL,63
IRN,73
IRQ,140
ISL,14
ISR,23
ITA,57
JAM,125
JOR,142
JPN,5
KAZ,55
KEN,157
KGZ,111
KHM,129
KIR,195
KOR,3
KWT,42
LAC,116
LAO,178
LBN,136
LCN,116
LIE,7
LKA,104
LMC,147
LMY,134
LSO,179
LTE,77
LTU,20
LUX,4
LVA,73
MAR,100
MCO,48
MDA,103
MDV,72
MEA,109
MEX,114
MIC,126
MKD,99
MLI,150
MLT,5
MNA,124
MNE,27
MNG,110
MOZ,189
MRT,163
MUS,62
MWI,196
MYS,58
NAC,16
NAM,141
NGA,188
NIC,151
NLD,10
NOR,29
OED,34
OMN,56
OSS,119
PAK,185
PAN,89
PHL,89
POL,60
PRE,180
PRI,85
PRT,51
PRY,122
PSE,138
PST,21
QAT,33
ROU,80
RUS,30
RWA,186
SAS,159
SAU,48
SDN,181
SEN,148
SGP,18
SLB,192
SMR,78
SRB,102
SSA,176
SSD,201
SSF,170
SST,115
STP,169
SUR,95
SVK,26
SVN,50
SWE,11
SYC,45
SYR,132
TCD,200
TEA,86
TEC,63
TGO,187
THA,70
TLA,111
TLS,156
TMN,123
TON,158
TSA,161
TSS,174
TTO,28
TUN,100
TUR,106
TZA,170
UKR,82
UMC,92
URY,32
USA,15
UZB,128
VEN,144
VNM,75
VUT,154
WLD,121
ZAF,97
ZMB,163
ZWE,159
