,Year,ISO_alpha3_code,PC1
1,2013,AFG,2.800062661
2,2015,ALB,11.87056576
3,2011,DZA,8.529077987
4,2015,AGO,5.982944455
5,2011,ATG,7.094357616
6,2015,ARM,7.6
7,2015,AUS,18.794
8,2015,AUT,28.03
9,2015,AZE,8.165277883
10,2015,BHS,4.891083346
11,2010,BHR,4.008
12,2014,BGD,1.65032396
13,2010,BRB,11.40653004
14,2015,BLR,19.39019832
15,2015,BEL,29.17
16,2015,BLZ,4.61965784
17,2010,BEN,4.203
18,2014,BTN,2.665177886
19,2014,BOL,10.17660472
20,2010,BWA,6.594392796
21,2015,BRA,18.26886721
22,2011,BRN,2.312
23,2014,BGR,18.5
24,2015,BFA,2.721265367
25,2010,BDI,4.94
26,2010,CPV,6.874126609
27,2013,KHM,1.19048
28,2010,CMR,2.33184022
29,2015,CAN,17.213
30,2012,CAF,2.553326009
31,2010,TCD,1.306
32,2015,CHL,15.341
33,2015,CHN,6.28303718
34,2015,COL,14.06643854
35,2012,COD,3.48362855
36,2012,COG,2.2084606
37,2015,CRI,13.55189802
38,2015,CIV,2.00853849
39,2014,HRV,21.6
40,2011,CUB,17.95662394
41,2014,CYP,23
42,2015,CZE,19.475
43,2015,DNK,28.814
44,2007,DJI,7.29
45,2010,DMA,7.99
46,2014,DOM,6.40047754
47,2014,ECU,7.768155931
48,2015,EGY,11.20203309
49,2015,SLV,11.5923832
50,2010,GNQ,2.779711939
51,2011,ERI,1.636
52,2015,EST,17.037
53,2010,ETH,3.172178602
54,2015,FJI,3.39320811
55,2015,FIN,30.575
56,2015,FRA,31.685
57,2014,GMB,4.21162845
58,2015,GEO,10.64352903
59,2015,DEU,24.964
60,2010,GHA,5.391544484
61,2015,GRC,26.387
62,2010,GRD,4.274314651
63,2011,GTM,4.39
64,2010,GIN,2.472675444
65,2010,GNB,5.437
66,2010,GUY,8.178390455
67,2013,HTI,3.27
68,2010,HND,4.39
69,2015,HKG,2.71162
70,2015,HUN,20.672
71,2015,ISL,15.674
72,2014,IND,2.67688659
73,2015,IDN,1.129407377
74,2010,IRN,12.53348989
75,2015,IRL,16.971
76,2015,ISR,16.046
77,2015,ITA,28.917
78,2011,JAM,4.42
79,2013,JPN,23.06
80,2015,JOR,8.933692689
81,2015,KAZ,5.371908255
82,2012,KEN,2.28679935
83,2015,KIR,11.96672333
84,2015,KOR,10.108
85,2011,KWT,11.437
86,2014,KGZ,9.047869447
87,2013,LAO,1.20032
88,2015,LVA,14.415
89,2015,LBN,2.064917733
90,2011,LSO,16.28743587
91,2015,LBR,3.34924304
92,2010,LBY,6.551
93,2014,LTU,14.7
94,2015,LUX,22.184
95,2014,MDG,0.743427561
96,2015,MWI,0.994650485
97,2012,MYS,3.77183
98,2011,MDV,4.203848277
99,2010,MLI,4.884
100,2014,MLT,18.2
101,2010,MRT,4.868375
102,2014,MUS,9.789494352
103,2015,MEX,11.95039596
104,2015,MDA,18.14896285
105,2015,MNG,14.3885569
106,2010,MAR,6.573743902
107,2015,MOZ,4.51673477
108,2011,MMR,0.959
109,2015,NAM,6.692129222
110,2015,NPL,3.04781912
111,2015,NLD,22.313
112,2015,NZL,19.667
113,2005,NIC,6.31
114,2010,NER,2.912275567
115,2013,NGA,0.707320393
116,2015,NOR,23.909
117,2013,OMN,3.834498175
118,2014,PAK,0.168979519
119,2015,PLW,7.066058593
120,2015,PAN,9.790580816
121,2015,PNG,3.56554272
122,2010,PRY,6.35
123,2015,PER,5.471245526
124,2015,PHL,2.200812678
125,2015,POL,19.419
126,2015,PRT,24.1
127,2010,QAT,1.741
128,2014,ROU,14.8
129,2015,RUS,15.56062704
130,2010,RWA,7.312558703
131,2010,KNA,5.613
132,2010,LCA,5.968331341
133,2010,VCT,8.246862944
134,2015,WSM,1.98255
135,2010,SMR,21.40177439
136,2014,STP,3.97776187
137,2011,SAU,3.643
138,2010,SEN,5.337
139,2014,SRB,23.4
140,2015,SYC,7.54945687
141,2005,SLE,4.157
142,2015,SGP,4.162000547
143,2015,SVK,19.408
144,2015,SVN,22.362
145,2015,SLB,6.64966077
146,2015,ZAF,10.14728518
147,2015,ESP,25.371
148,2015,LKA,6.511723916
149,2010,SDN,2.274856143
150,2012,THA,4.368745749
151,2015,SWE,26.677
152,2015,CHE,19.608
153,2010,SYR,1.913621936
154,2010,TZA,6.806
155,2015,THA,3.694476818
156,2014,TLS,3.27292
157,2014,TGO,2.59830705
158,2010,TTO,8.96
159,2011,TUN,10.403
160,2014,TUR,13.507
161,2015,UGA,2.191067995
162,2015,UKR,22.22613968
163,2015,ARE,4.990471325
164,2015,GBR,21.502
165,2015,USA,18.954
166,2015,URY,16.9750333
167,2014,UZB,11.62118007
168,2015,VEN,8.769795822
169,2015,VNM,6.333585551
170,2012,YEM,9.557902348
171,2011,ZMB,5.459
172,2011,ZWE,5.6
